Programa Estudios,Periodo,Unidad Académica,Créditos,Horas
DISEÑO Y PROGRAMACIÓN WEB,I,Diseño gráfico para la web,3,80
DISEÑO Y PROGRAMACIÓN WEB,I,Maquetación web,3,80
DISEÑO Y PROGRAMACIÓN WEB,I,Soporte para diseño web,2,48
DISEÑO Y PROGRAMACIÓN WEB,I,Marketing digital,3,80
DISEÑO Y PROGRAMACIÓN WEB,I,Lógica matemática,2,48
DISEÑO Y PROGRAMACIÓN WEB,I,Fundamentos de informática y de la web,2,48
DISEÑO Y PROGRAMACIÓN WEB,I,Análisis de Interpretación de textos,2,48
DISEÑO Y PROGRAMACIÓN WEB,I,Ofimática,2,48
DISEÑO Y PROGRAMACIÓN WEB,II,Mapas de navegación,2,48
DISEÑO Y PROGRAMACIÓN WEB,II,Diseño web,3,80
DISEÑO Y PROGRAMACIÓN WEB,II,Documentación de diseño web,3,64
DISEÑO Y PROGRAMACIÓN WEB,II,Administración web,3,64
DISEÑO Y PROGRAMACIÓN WEB,II,Animación de páginas web,3,80
DISEÑO Y PROGRAMACIÓN WEB,II,Matemática para programadores,2,48
DISEÑO Y PROGRAMACIÓN WEB,II,Técnicas de comunicación,2,48
DISEÑO Y PROGRAMACIÓN WEB,II,Aplicaciones en internet,2,48
DISEÑO Y PROGRAMACIÓN WEB,III,Programación de componentes de software,4,96
DISEÑO Y PROGRAMACIÓN WEB,III,Análisis y diseño de sistemas de información,4,96
DISEÑO Y PROGRAMACIÓN WEB,III,Estándares de codificación,2,48
DISEÑO Y PROGRAMACIÓN WEB,III,Diseño de base de datos,3,64
DISEÑO Y PROGRAMACIÓN WEB,III,Metodología de programación,3,64
DISEÑO Y PROGRAMACIÓN WEB,III,Lenguaje de consulta SQL,3,64
DISEÑO Y PROGRAMACIÓN WEB,III,Inglés para la comunicación oral,2,48
DISEÑO Y PROGRAMACIÓN WEB,IV,Plantillas de estilos web,3,80
DISEÑO Y PROGRAMACIÓN WEB,IV,Metodología de desarrollo de software,2,48
DISEÑO Y PROGRAMACIÓN WEB,IV,Programación web,4,112
DISEÑO Y PROGRAMACIÓN WEB,IV,Gestión de contenidos,4,112
DISEÑO Y PROGRAMACIÓN WEB,IV,Administración de base de datos,3,80
DISEÑO Y PROGRAMACIÓN WEB,IV,Comprensión y redacción en inglés,2,48
DISEÑO Y PROGRAMACIÓN WEB,V,Servicios web,5,128
DISEÑO Y PROGRAMACIÓN WEB,V,Desarrollo de aplicaciones móviles,4,112
DISEÑO Y PROGRAMACIÓN WEB,V,Métricas de software,2,48
DISEÑO Y PROGRAMACIÓN WEB,V,Prueba unitaria de software,2,48
DISEÑO Y PROGRAMACIÓN WEB,V,Solución de Problemas,2,48
DISEÑO Y PROGRAMACIÓN WEB,V,Comportamiento Ético,2,48
DISEÑO Y PROGRAMACIÓN WEB,V,Emprendimiento,2,48
DISEÑO Y PROGRAMACIÓN WEB,VI,Gestión de aplicaciones web,3,80
DISEÑO Y PROGRAMACIÓN WEB,VI,Interacción con dispositivos móviles,4,112
DISEÑO Y PROGRAMACIÓN WEB,VI,Prueba de calidad de software,4,96
DISEÑO Y PROGRAMACIÓN WEB,VI,Realidad aumentada,3,80
DISEÑO Y PROGRAMACIÓN WEB,VI,Mantenimiento de software,2,48
DISEÑO Y PROGRAMACIÓN WEB,VI,Innovación,3,64
