Programa Estudios;Periodo;Unidad Académica;Créditos;Horas
DISEÑO Y PROGRAMACIÓN WEB;I;Diseño gráfico para la web;3;80
DISEÑO Y PROGRAMACIÓN WEB;I;Maquetación Web;3;80
DISEÑO Y PROGRAMACIÓN WEB;I;Soporte para diseño web;2;48
DISEÑO Y PROGRAMACIÓN WEB;I;Metodología de la programación;3;80
DISEÑO Y PROGRAMACIÓN WEB;I;Lógica Matemática;2;48
DISEÑO Y PROGRAMACIÓN WEB;I;Informática;2;48
DISEÑO Y PROGRAMACIÓN WEB;I;Comunicación Efectiva I;2;48
DISEÑO Y PROGRAMACIÓN WEB;I;Comunicación Idioma extranjero;2;48
DISEÑO Y PROGRAMACIÓN WEB;II;Mapas de navegación;2;48
DISEÑO Y PROGRAMACIÓN WEB;II;Plantillas de estilos web;3;80
DISEÑO Y PROGRAMACIÓN WEB;II;Diseño Web;3;80
DISEÑO Y PROGRAMACIÓN WEB;II;Documentación de Diseño Web;3;64
DISEÑO Y PROGRAMACIÓN WEB;II;Administración Web;3;64
DISEÑO Y PROGRAMACIÓN WEB;II;Matemática para programadores;2;48
DISEÑO Y PROGRAMACIÓN WEB;II;Comunicación Efectiva II;2;48
DISEÑO Y PROGRAMACIÓN WEB;II;Herramientas informáticas básicas;2;48
DISEÑO Y PROGRAMACIÓN WEB;III;Programación de componentes de Software;4;112
DISEÑO Y PROGRAMACIÓN WEB;III;Análisis y diseño de SI;4;96
DISEÑO Y PROGRAMACIÓN WEB;III;Estándares de codificación;2;48
DISEÑO Y PROGRAMACIÓN WEB;III;Diseño de base de datos;3;64
DISEÑO Y PROGRAMACIÓN WEB;III;Lenguaje consulta SQL;3;64
DISEÑO Y PROGRAMACIÓN WEB;III;Inglés Técnico;2;48
DISEÑO Y PROGRAMACIÓN WEB;III;Herramientas informáticas avanzadas;2;48
DISEÑO Y PROGRAMACIÓN WEB;IV;Prueba unitaria de Software;2;48
DISEÑO Y PROGRAMACIÓN WEB;IV;Animación de páginas Web;3;80
DISEÑO Y PROGRAMACIÓN WEB;IV;Metodología de desarrollo de software;2;48
DISEÑO Y PROGRAMACIÓN WEB;IV;Programación Web;4;112
DISEÑO Y PROGRAMACIÓN WEB;IV;Web Services y SOAP;4;112
DISEÑO Y PROGRAMACIÓN WEB;IV;Administración de base de datos;3;80
DISEÑO Y PROGRAMACIÓN WEB;V;Marketing digital;3;80
DISEÑO Y PROGRAMACIÓN WEB;V;Gestión de contenidos;4;112
DISEÑO Y PROGRAMACIÓN WEB;V;Desarrollo de aplicaciones móviles;4;96
DISEÑO Y PROGRAMACIÓN WEB;V;Métricas de Software;2;48
DISEÑO Y PROGRAMACIÓN WEB;V;Innovación I;2;48
DISEÑO Y PROGRAMACIÓN WEB;V;Ética y Ciudadanía;2;48
DISEÑO Y PROGRAMACIÓN WEB;V;Emprendimiento;2;48
DISEÑO Y PROGRAMACIÓN WEB;VI;Gestión de aplicaciones Web;3;80
DISEÑO Y PROGRAMACIÓN WEB;VI;Interacción con dispositivos móviles;4;112
DISEÑO Y PROGRAMACIÓN WEB;VI;Pruebas de calidad de software;4;96
DISEÑO Y PROGRAMACIÓN WEB;VI;Realidad aumentada;3;80
DISEÑO Y PROGRAMACIÓN WEB;VI;Mantenimiento de software;2;48
DISEÑO Y PROGRAMACIÓN WEB;VI;Innovación II;3;64
